host_s,frame,x_ticks,x_vel_ticks_s,theta_rad,theta_vel_rad_s,u,captured,running,rail_blocked
1.9358,917,0,0.0,-0.0046,-0.006,0.0000,0,0,0
1.9359,918,0,0.0,-0.0046,0.074,0.0000,0,0,0
1.9559,919,0,0.0,-0.0046,0.037,0.0000,0,0,0
1.9559,920,0,0.0,-0.0138,-0.173,0.0000,0,0,0
1.9560,921,0,0.0,-0.0046,-0.087,0.0000,0,0,0
1.9560,922,0,0.0,0.0000,0.072,0.0000,0,0,0
1.9761,923,0,0.0,-0.0015,0.113,0.0000,0,0,0
1.9761,924,0,0.0,-0.0015,0.363,0.0000,0,0,0
1.9761,925,0,0.0,-0.0015,0.258,0.0000,0,0,0
1.9761,926,0,0.0,-0.0031,0.052,0.0000,0,0,0
1.9761,927,0,0.0,-0.0031,-0.012,0.0000,0,0,0
1.9963,928,0,0.0,-0.0046,-0.076,0.0000,0,0,0
1.9963,929,0,0.0,-0.0031,-0.073,0.0000,0,0,0
1.9963,930,0,0.0,-0.0046,-0.071,0.0000,0,0,0
2.0164,931,0,0.0,0.0077,0.208,0.0000,0,0,0
2.0165,932,0,0.0,-0.0031,0.143,0.0000,0,0,0
